"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"8191",19.4,7,76,87,0.275,18.01,4.5,119,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8192",17.4,7,39,87,0.266,18,5,139,"Intervalo 2","Intervalo 1","Intervalo 4",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8193",17.5,7,52,87,0.266,17.98,4.2,141,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8199",14.2,31,51,56,0.259,24.14,9.3,145,"Intervalo 2","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"8200",14.2,33,64,58,0.258,23.69,12.1,115,"Intervalo 2","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8201",15.2,35,77,58,0.263,23.62,12.2,116,"Intervalo 2","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8202",19.4,33,83,59,0.283,23.08,11.4,113,"Intervalo 2","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8203",23.4,30,81,62,0.301,22.01,10.4,117,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8204",29.1,25,90,64,0.329,21.24,9,127,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"8205",51.1,12,104,67,0.438,20.29,6.4,101,NA,"Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"8206",72.4,6,113,70,0.544,19.47,3.2,113,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8207",100.5,6,136,72,0.682,18.73,3.3,24,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 3"
"8208",81.9,8,148,72,0.575,18.59,3.8,40,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 4"
"8209",56.4,9,119,73,0.461,18.14,4.2,35,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 4"
"8210",56.2,6,90,74,0.459,17.8,3.5,35,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 4"
"8211",57.4,4,85,75,0.465,17.96,2.9,85,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8212",26.4,8,135,78,0.31,16.87,4.1,28,"Intervalo 3","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 3"
"8213",16.6,10,78,80,0.26,15.95,3.3,20,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 2"
"8221",20.1,25,103,61,0.285,22.59,5,145,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"8222",18,35,64,55,0.277,23.74,6.4,131,"Intervalo 2","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"8223",20.2,32,69,60,0.286,22.71,13.2,108,"Intervalo 3","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8224",17.7,35,72,61,0.273,22.45,14.3,107,"Intervalo 2","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8225",22.5,37,74,61,0.297,22.26,14.9,103,"Intervalo 3","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8226",28.5,38,89,64,0.326,21.46,17,100,"Intervalo 3","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
