"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"10990",25.8,17,124,55,0,29.3,12.1,132,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"10991",28.4,15,84,61,0,27.58,10.1,132,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"10992",19.7,18,79,65,0,26.41,9.3,110,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"10993",17.7,18,72,67,0,25.65,9.5,134,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"10994",15,20,70,69,0,25.11,10,146,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"10995",18.2,18,65,71,0,24.4,8.1,141,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"10996",26.3,12,62,73,0,23.81,3.5,138,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"10997",25.5,12,68,74,0,23.5,5.6,66,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"10998",39.3,8,74,76,0,23.08,4.2,70,"Intervalo 4","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"10999",61.5,8,87,76,0.006,22.95,4.4,77,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11000",55.4,10,111,75,0.063,23.28,3.8,108,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11001",46,12,98,73,0.092,23.86,1.2,48,"Intervalo 5","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 5"
"11002",62.9,10,100,71,0.15,24.59,3.7,44,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 5"
